construct,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
Attentional Control,0.001895322651671798,0.004070154271406371,0.014390343717666714,0.02770826326350007,0.02563483663162191,0.0576700674179766,0.0142904751543024
Attentional Inertia,0.0,0.0,0.0,0.003401458073343007,0.0,0.0,0.0
Behavioral Control,0.0,0.00047596478072257345,0.02384811850886971,0.0,0.0009350591352776875,0.002966304765491346,0.0
Behavioral Regulation,0.0006586335614639145,0.0,0.004664106303038673,0.0050041447704261745,0.0024121944164690727,0.004976054904340304,0.0
Central Executive,0.0017629351377069634,0.0012727556867909193,0.001678130740422046,0.013149861962510445,0.0,0.001444489197010163,0.05155782219296473
Cognitive Binding,0.0,0.0,0.0,0.0006955086642495299,0.0,0.0,0.0
Cognitive Control,0.002869847029863102,0.018744377390366104,0.07774717021898163,0.03594363467208439,0.0,0.16360686419153128,0.012762006680936891
Cognitive Flexibility,0.02638632192646769,0.02527059308307925,0.006883248494304915,0.15738187044715973,0.0,0.0,0.0
Cognitive Inhibition,0.001924583734382238,0.006121047960694487,0.025542226125163166,0.03277484221050178,0.006482547966608896,0.018042419847016017,0.0009273639067022554
Context Processing,0.0005457898088412236,0.0,0.00491348197794618,0.0005007992912189285,0.0,0.008226774172558848,0.006773143144524325
Core Executive Functions,0.0001357460467757165,0.0002171207074226312,0.001173458066830368,0.0020201101187995573,0.0009414715812753499,0.002597753917129119,0.005263549218496416
Creativity,0.0028039544602709784,0.0009488897103279972,0.0,0.0006731973238044528,0.000929944330912501,0.0013041472727196388,0.004237381667191981
Deductive Reasoning,0.0005693831339285387,0.0,0.00010834647823445874,0.00036106387732425335,0.00021477899449344256,0.0,0.0024022060493561035
Dual Task Coordination,0.00017154767260418914,0.0002615589314510962,0.0,0.0003640631226286205,0.00023534546171274503,0.0,0.004754854619659304
Effective Performance,0.00022057776297005626,0.0,0.0,0.0007111731947046202,0.0,0.0,0.0002834589409982297
Effortful Control,0.0,0.0,0.00655058213232203,0.004650335821344781,0.008200015992325246,0.0020815331888720838,0.0
Emotional Control,0.0004769622160366642,0.0,0.002788897356847243,0.002421821750323542,0.0,0.0,0.0017541083303478848
Emotional Regulation,0.0003600922202605137,0.0,0.008773132766179631,0.003520531594143828,0.0,0.0022534635519423887,0.0006410382975276679
Episodic Buffer,0.0003541068929145635,3.538588740811168e-05,0.0,0.0,6.870106174710942e-05,0.0,0.00946942942867649
Episodic Memory,0.026716698845211634,1.8731816681076224e-06,0.0010425722276277115,0.01950695795029991,0.0010855437072678311,0.001823602596367749,0.013257431031029405
